REGIONAL;GERENTE;GRUPO ECONOMICO;NOME SIGA;Inscritos ENEM 25.1;Inscritos Total CPF Único;Inscritos EX ENEM;Adiantamento da VCP - Nov;Adiantamento da VCP - Jan;TOP 25;Possui time comercial;Quantidade time comercial;% do CE nas matrículas do Polo;Aportes;Expectativa Matricula Enem;META 100% ONLINE;REAL 25.1;% META;META HIBRIDO;REAL 25.1;% META;META PRESENCIAL;REAL 25.1;% META;META HIBRIDO LAB;REAL 25.1;% META;META TOTAL;REAL 25.1;% META
SUDESTE;CONSUELO NOBREGA;GE2-FERNANDA MOTA PIRES DIAS;[ANHANGUERA/UNOPAR] - ITANHANDU/MG - I(15081504);1;29;28;SIM; NÃO;NÃO;NÃO;0;0%;0;0;31;11;36%;0;0;0%;0;0;0%;1;0;0%;32;11;35%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE2-LUCIANO ZANGIROLAMI;[ANHANGUERA/UNOPAR] - ITANHANGA/MT - I(15051418);0;60;60;SIM; NÃO;NÃO;NÃO;0;0%;1;0;46;34;73%;0;0;0%;0;0;0%;0;0;0%;46;34;73%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITAPARICA/BA - I(15237299);0;1;1;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUDESTE;SILVIA CUNHA;GE4-SILVIA GONTIJO;[ANHANGUERA/UNOPAR] - ITAPERUNA/RJ - I(5743);12;649;637;SIM; NÃO;NÃO;SIM;2;0%;0;0;165;44;27%;9;3;33%;0;0;0%;54;7;13%;228;54;24%
NORDESTE;RODRIGO BONFIM;GE2-FRANCISCO MORORO;[ANHANGUERA/UNOPAR] - ITAPETINGA/BA - I(3158);410;627;217;SIM; NÃO;NÃO;SIM;4;6%;1;0;226;93;41%;23;21;92%;0;0;0%;158;59;37%;407;173;43%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITAPICURU/BA - I(15157052);0;3;3;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITAPORANGA DAJUDA/SE - I(11088968);0;0;0;NÃO; SIM;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SP INTERIOR;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITAPORANGA/SP - I(14005960);0;15;15;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;3;0%;0;0;0%;0;0;0%;0;0;0%;0;3;0%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE5-PAULO CESAR PIRES ANDRADE;[ANHANGUERA/UNOPAR] - ITAPUA DO OESTE/RO - I(14005962);0;66;66;SIM; NÃO;SIM;SIM;1;0%;0;0;52;34;66%;0;0;0%;0;0;0%;2;3;147%;54;37;69%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITAQUI/RS - I(8431583);0;18;18;SIM; NÃO;SIM;NÃO;0;0%;0;0;0;2;0%;0;0;0%;0;0;0%;0;1;0%;0;3;0%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITARANTIM/BA - I(11791761);0;3;3;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SP INTERIOR;JULIANE ABADE;GE2-MARINEZ DE OLIVEIRA;[ANHANGUERA/UNOPAR] - ITARARE/SP - I(8415891);0;74;74;SIM; NÃO;NÃO;NÃO;0;0%;0;0;69;23;34%;0;0;0%;0;0;0%;5;2;40%;74;25;34%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITAU DE MINAS/MG - I(13825599);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITINGA DO MARANHAO/MA - I(13932116);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ITINGA/MG - I(15210052);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SP INTERIOR;JULIANE ABADE;GI-ARMANDO SERGIO DE MOURA BARROS NETO;[ANHANGUERA/UNOPAR] - ITU/SP - I(4286);0;271;271;SIM; NÃO;NÃO;NÃO;0;0%;0;0;315;114;36%;36;26;73%;0;0;0%;25;5;20%;376;145;39%
SUDESTE;CONSUELO NOBREGA;GI-ANDREIA CONCEICAO BIZZIO BARBOSA;[ANHANGUERA/UNOPAR] - ITURAMA/MG - I(11088971);0;73;73;SIM; NÃO;NÃO;NÃO;0;0%;0;0;76;42;56%;0;0;0%;0;0;0%;0;3;0%;76;45;59%
NORDESTE;MARCOS SANTOS;GE4-LENIR ROSA DE SOUZA OLIVEIRA;[ANHANGUERA/UNOPAR] - IUIU/BA - I(15342084);39;39;0;SIM; NÃO;NÃO;SIM;2;0%;0;25;18;13;72%;0;0;0%;0;0;0%;0;0;0%;18;13;72%
SUL;ANTONIO FERNANDES;GI-SIRLEI DAS NEVES VIESBA INACIO;[ANHANGUERA/UNOPAR] - IVAIPORA/PR - I(6959);0;51;51;SIM; NÃO;NÃO;NÃO;0;0%;0;0;54;15;28%;0;0;0%;0;0;0%;0;1;0%;54;16;30%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - IVOTI/RS - I(15313277);0;36;36;SIM; NÃO;NÃO;NÃO;0;0%;0;0;0;10;0%;0;0;0%;0;0;0%;0;0;0%;0;10;0%
NORDESTE;RODRIGO BONFIM;GI-RAFAEL OLIVEIRA DE LIMA;[ANHANGUERA/UNOPAR] - JABOATAO DOS GUARARAPES/PE - II(11872266);135;504;369;SIM; NÃO;NÃO;SIM;1;37%;1;40;316;94;30%;54;28;52%;0;0;0%;63;35;55%;434;157;36%
NORDESTE;MARCOS SANTOS;GE3-ELZA LEAL DOS SANTOS FERREIRA;[ANHANGUERA/UNOPAR] - JACARACI/BA - I(3106);1;33;32;SIM; NÃO;NÃO;NÃO;0;0%;0;0;22;26;116%;0;0;0%;0;0;0%;0;0;0%;22;26;116%
NORDESTE;MARCOS SANTOS;GE3-ANTONIO MELO DE ALMEIDA;[ANHANGUERA/UNOPAR] - JACARE DOS HOMENS/AL - I(15022469);1;24;23;SIM; NÃO;NÃO;SIM;2;0%;0;0;17;6;35%;0;0;0%;0;0;0%;0;0;0%;17;6;35%
SUL;ANTONIO FERNANDES;GE3-ANDREA DIB;[ANHANGUERA/UNOPAR] - JACAREZINHO/PR - I(1074599);188;175;-13;SIM; NÃO;NÃO;SIM;4;0%;0;5;137;37;27%;0;0;0%;0;0;0%;8;2;26%;144;39;27%
CENTRO OESTE/NORTE;BERLITO FERREIRA;GI-WERLEY RODRIGUES DE SOUZA;[ANHANGUERA/UNOPAR] - JACUNDA/PA - I(12176206);283;286;3;SIM; NÃO;NÃO;SIM;3;0%;0;0;40;8;20%;41;16;39%;0;0;0%;78;24;31%;159;48;30%
SUL;TBD;GE6-THOMAS BESSA;[ANHANGUERA/UNOPAR] - JAGUARAO/RS - I(1059322);23;175;152;SIM; NÃO;NÃO;SIM;1;0%;0;0;147;54;37%;17;3;18%;0;0;0%;119;79;66%;283;136;48%
SUL;ANTONIO FERNANDES;GE4-TALITA SANTUCCI;[ANHANGUERA/UNOPAR] - JAGUARIAIVA/PR - I(1059417);678;724;46;SIM; NÃO;NÃO;SIM;2;61%;0;9;246;79;32%;42;15;36%;0;0;0%;125;43;34%;413;137;33%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - JAGUARUNA/SC - I(15033054);0;1;1;NÃO; SIM;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUDESTE;MARCOS MALACARNE;GI-LUCIMAR DELON DA SILVA FERNANDES;[ANHANGUERA/UNOPAR] - JAIBA/MG - I(3111);0;107;107;SIM; SIM;NÃO;SIM;2;0%;0;0;65;13;20%;80;21;26%;0;0;0%;31;7;22%;176;41;23%
SUDESTE;MARCOS MALACARNE;GI-FABIO CANTUARIA RIBEIRO;[ANHANGUERA/UNOPAR] - JANAUBA/MG - I(3113);92;276;184;SIM; NÃO;NÃO;SIM;2;5%;0;0;109;42;39%;51;21;41%;0;0;0%;54;28;52%;214;91;42%
SUDESTE;MARCOS MALACARNE;GE3-RONDINELE SILVA DE SA;[ANHANGUERA/UNOPAR] - JANUARIA/MG - I(3114);0;221;221;SIM; NÃO;NÃO;SIM;2;0%;0;0;176;29;16%;80;26;32%;0;0;0%;76;42;55%;333;97;29%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE3-SUELI DE ALMEIDA LOPES;[ANHANGUERA/UNOPAR] - JARU/RO - I(1051564);394;447;53;SIM; NÃO;NÃO;NÃO;0;0%;0;3;102;56;55%;26;4;16%;0;0;0%;41;14;34%;168;74;44%
SP INTERIOR;VICTOR CARVAS;GI-MARIA HELENA PIRAGINE RESSINETTE;[ANHANGUERA/UNOPAR] - JAU/SP - I(4288);472;664;192;SIM; NÃO;NÃO;SIM;2;0%;0;5;118;46;39%;160;49;31%;0;0;0%;110;42;38%;388;137;35%
NORDESTE;RODRIGO BONFIM;GE8-JEFTER FERNANDES;[ANHANGUERA/UNOPAR] - JEQUIE/BA - I(14910272);20;188;168;SIM; NÃO;NÃO;NÃO;0;0%;0;2;88;46;52%;0;0;0%;0;0;0%;50;1;2%;138;65;47%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE9-GRUPO VIRTUS;[ANHANGUERA/UNOPAR] - JI PARANA/RO - I(3733);502;827;325;SIM; SIM;SIM;SIM;1;2%;1;0;333;119;36%;99;47;48%;0;0;0%;85;43;51%;516;209;40%
NORDESTE;TATIANE ALMEIDA;GI-LUIZ PEREIRA FILHO;[ANHANGUERA/UNOPAR] - JOAO CAMARA/RN - I(1051565);105;199;94;SIM; NÃO;NÃO;SIM;1;0%;0;9;69;35;51%;41;17;42%;0;0;0%;14;3;21%;124;55;44%
SUDESTE;CONSUELO NOBREGA;GE4-CAMILA ARRUDA;[ANHANGUERA/UNOPAR] - JOAO MONLEVADE/MG - I(6962);135;347;212;SIM; NÃO;NÃO;SIM;3;0%;1;2;136;32;24%;9;2;23%;0;0;0%;64;9;14%;208;43;21%
NORDESTE;TATIANE ALMEIDA;GE2-TATYANA PALMEIRA / FABIO PALMEIRA;[ANHANGUERA/UNOPAR] - JOAO PESSOA/PB - II(7624);1546;1118;-428;SIM; NÃO;NÃO;NÃO;0;0%;0;0;208;85;41%;2;15;754%;0;0;0%;0;20;0%;210;121;58%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - JOAO PESSOA/PB - IV(15085322);0;1;1;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
NORDESTE;TATIANE ALMEIDA;GE2-TATYANA PALMEIRA / FABIO PALMEIRA;[ANHANGUERA/UNOPAR] - JOAO PESSOA/PB - V(15085323);1941;1028;-913;SIM; NÃO;NÃO;SIM;1;0%;0;0;87;65;75%;0;0;0%;0;0;0%;0;0;0%;87;65;75%
SUDESTE;MARCOS MALACARNE;GE11-IZAURO GUIMARAES;[ANHANGUERA/UNOPAR] - JOAO PINHEIRO/MG - I(11088975);116;177;61;SIM; NÃO;SIM;SIM;1;22%;0;0;105;32;31%;0;1;0%;0;0;0%;10;5;48%;115;38;33%
SUL;ANTONIO FERNANDES;GI-MATHEUS HENRIQUE MOHR;[ANHANGUERA/UNOPAR] - JOINVILLE/SC - I(3119);1118;1681;563;SIM; SIM;NÃO;SIM;4;0%;0;2;318;142;45%;78;35;45%;0;0;0%;276;101;37%;672;278;41%
SUDESTE;CONSUELO NOBREGA;GE15-EVANDO LOPES;[ANHANGUERA/UNOPAR] - JUATUBA/MG - I(13825601);0;73;73;SIM; NÃO;SIM;SIM;1;0%;1;0;64;31;48%;0;0;0%;0;0;0%;15;3;19%;79;38;48%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GI-MENESTREL TEIXEIRA DA SILVA;[ANHANGUERA/UNOPAR] - JUINA/MT - I(1077450);123;269;146;SIM; NÃO;NÃO;NÃO;0;0%;1;17;180;104;58%;0;0;0%;0;0;0%;6;5;82%;186;109;59%
SUL;TBD;GE2-CAROLINE DALVA;[ANHANGUERA/UNOPAR] - JULIO DE CASTILHOS/RS - I(12333390);0;115;115;SIM; SIM;NÃO;SIM;1;0%;0;0;83;65;78%;16;1;6%;0;0;0%;26;3;12%;124;69;56%
CENTRO OESTE/NORTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - JUSSARA/GO - I(13935799);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;TBD;GI-LUCIANA DE FATIMA VICENZI;[ANHANGUERA/UNOPAR] - LAGES/SC - I(12652990);0;88;88;SIM; NÃO;NÃO;SIM;2;60%;0;0;141;47;33%;0;0;0%;0;0;0%;16;4;25%;157;51;33%
SUDESTE;MARCOS MALACARNE;GE7-RONAN RAMOS;[ANHANGUERA/UNOPAR] - LAGOA DA PRATA/MG - I(1051568);444;723;279;SIM; NÃO;NÃO;SIM;7;1%;0;10;334;122;37%;126;58;46%;0;0;0%;208;88;42%;668;268;40%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - LAGOA DOURADA/MG - I(15262145);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - LAGOA NOVA/RN - II(15045539);0;1;1;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUDESTE;MARCOS MALACARNE;GI-WALERIO FERRAZ LIMA;[ANHANGUERA/UNOPAR] - LAGOA SANTA/MG - I(1059577);187;384;197;SIM; NÃO;NÃO;SIM;1;0%;0;6;137;47;34%;34;34;101%;0;0;0%;84;14;17%;255;95;37%
SUL;TBD;GI-MARIVONE LEAL SCHUSTER;[ANHANGUERA/UNOPAR] - LAGOA VERMELHA/RS - I(3123);29;222;193;SIM; NÃO;NÃO;SIM;2;0%;0;6;148;61;41%;8;4;51%;0;0;0%;100;35;35%;256;100;39%
SUL;TBD;GE2-DIEGO DALMORO;[ANHANGUERA/UNOPAR] - LAJEADO/RS - I(3125);0;562;562;SIM; NÃO;NÃO;SIM;3;18%;1;0;481;229;48%;73;22;30%;0;0;0%;132;50;38%;687;301;44%
SUL;ANTONIO FERNANDES;GE2-EDNILSON ROGERIO BOASCZYR WIECZORKOVSKI;[ANHANGUERA/UNOPAR] - LAPA/PR - I(13785933);0;34;34;SIM; NÃO;NÃO;SIM;1;0%;0;0;94;11;12%;0;0;0%;0;0;0%;7;0;0%;101;12;12%
CENTRO OESTE/NORTE;BERLITO FERREIRA;GE2-GLAUBER DA SILVA BRILHANTE;[ANHANGUERA/UNOPAR] - LARANJAL DO JARI/AP - I(14652633);0;26;26;SIM; SIM;NÃO;SIM;1;0%;0;0;40;3;7%;0;0;0%;0;0;0%;4;1;25%;44;4;9%
SUDESTE;CONSUELO NOBREGA;GI-ALYSSON MASSOTE CARVALHO;[ANHANGUERA/UNOPAR] - LAVRAS/MG - I(24060);65;246;181;SIM; NÃO;NÃO;NÃO;0;0%;0;0;132;42;32%;11;5;44%;0;0;0%;13;5;38%;156;55;35%
SUDESTE;CONSUELO NOBREGA;GE3-ELIANE CRISTINA PEREIRA DE MEDEIROS;[ANHANGUERA/UNOPAR] - LEOPOLDINA/MG - I(11629592);127;245;118;SIM; SIM;NÃO;SIM;2;0%;0;0;98;61;62%;9;0;0%;0;0;0%;7;9;127%;114;71;62%
NORDESTE;MARCOS SANTOS;GE2-MARIA GABRIELA CORREIA DA SILVA;[ANHANGUERA/UNOPAR] - LIMOEIRO DE ANADIA/AL - I(14702353);433;75;-358;SIM; SIM;NÃO;NÃO;0;0%;0;0;33;18;54%;0;0;0%;0;0;0%;0;0;0%;33;22;66%
NORDESTE;TATIANE ALMEIDA;GE4-ROBSON CAVALCANTE;[ANHANGUERA/UNOPAR] - LIMOEIRO DO NORTE/CE - I(24164);709;970;261;SIM; NÃO;NÃO;SIM;5;0%;1;3;171;57;33%;82;66;81%;0;0;0%;171;73;43%;423;196;46%
NORDESTE;RODRIGO BONFIM;GI-XYMMEYA KARAMMY QUIRINO DOS SANTOS;[ANHANGUERA/UNOPAR] - LIMOEIRO/PE - I(11088980);381;499;118;SIM; NÃO;NÃO;SIM;3;0%;0;6;166;32;19%;78;25;32%;0;0;0%;60;22;37%;304;79;26%
SUDESTE;SILVIA CUNHA;GI-ADAILTON SOUZA PEREIRA;[ANHANGUERA/UNOPAR] - LINHARES/ES - I(3128);4;359;355;SIM; NÃO;NÃO;NÃO;0;0%;1;128;275;88;32%;28;19;67%;0;0;0%;36;22;61%;339;129;38%
NORDESTE;RODRIGO BONFIM;GE5-CRISTIANE ASSUNCAO CORDEIRO;[ANHANGUERA/UNOPAR] - LIVRAMENTO DE NOSSA SENHORA/BA - I(3737);6;143;137;SIM; NÃO;NÃO;SIM;1;0%;0;68;200;83;42%;29;1;3%;0;0;0%;5;0;0%;234;84;36%
SUL;ANTONIO FERNANDES;GE5-ELISA MARIA DE ASSIS;[ANHANGUERA/UNOPAR] - LONDRINA/PR - I(14602316);248;248;0;SIM; NÃO;NÃO;NÃO;0;0%;1;4;147;19;13%;0;0;0%;0;0;0%;53;0;0%;200;32;16%
SUL;ANTONIO FERNANDES;GE5-ELISA MARIA DE ASSIS;[ANHANGUERA/UNOPAR] - LONDRINA/PR - II(15195244);101;325;224;SIM; NÃO;NÃO;NÃO;0;0%;0;71;117;84;72%;0;0;0%;0;0;0%;21;9;43%;138;108;78%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE3-MARCUS VINICIUS PEREIRA;[ANHANGUERA/UNOPAR] - LUCAS DO RIO VERDE/MT - I(1074580);0;147;147;SIM; NÃO;NÃO;NÃO;0;0%;0;0;56;41;74%;0;0;0%;0;0;0%;4;4;98%;60;45;75%
REVENUE SHARE;FERNANDO GONTIJO;GE3-ANA AMELIA JUNQUEIRA;[ANHANGUERA/UNOPAR] - LUIS EDUARDO MAGALHAES/BA - I(3131);664;1880;1216;SIM; NÃO;SIM;SIM;3;20%;1;140;354;170;48%;268;180;67%;130;68;52%;650;427;66%;1402;845;60%
SUDESTE;MARCOS MALACARNE;GE7-RONAN RAMOS;[ANHANGUERA/UNOPAR] - LUZ/MG - I(15072688);10;46;36;SIM; NÃO;NÃO;SIM;7;0%;1;0;30;16;54%;0;0;0%;0;0;0%;5;0;0%;35;16;46%
CENTRO OESTE/NORTE;BERLITO FERREIRA;GE4-KELLY DANTAS DE VASCONCELOS;[ANHANGUERA/UNOPAR] - MACAPA/AP - II(1051629);685;1155;470;SIM; NÃO;NÃO;NÃO;0;0%;0;26;284;98;35%;198;81;41%;0;0;0%;162;85;53%;644;264;41%
CENTRO OESTE/NORTE;BERLITO FERREIRA;GE4-KELLY DANTAS DE VASCONCELOS;[ANHANGUERA/UNOPAR] - MACAPA/AP - III(15085324);344;503;159;SIM; NÃO;NÃO;NÃO;0;0%;0;2;171;87;51%;0;0;0%;0;0;0%;0;4;0%;171;91;53%
NORDESTE;TATIANE ALMEIDA;GE4-MARCOS ANTONIO TAVARES CANDIDO DA SILVA;[ANHANGUERA/UNOPAR] - MACAU/RN - I(13823821);166;217;51;SIM; NÃO;NÃO;NÃO;0;0%;0;0;18;16;87%;0;0;0%;0;0;0%;8;1;13%;26;17;65%
NORDESTE;MARCOS SANTOS;GE4-BENEDITO ANADAO;[ANHANGUERA/UNOPAR] - MACEIO/AL - I(4293);821;1537;716;SIM; NÃO;NÃO;SIM;1;80%;0;0;480;184;38%;353;295;84%;0;0;0%;139;79;57%;972;558;57%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MACEIO/AL - II(14671346);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MACEIO/AL - IV(1059617);0;5;5;NÃO; SIM;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE2-PEDRO BENTO DE MORAIS JUNIOR;[ANHANGUERA/UNOPAR] - MACHADINHO DOESTE/RO - I(3133);167;407;240;SIM; NÃO;NÃO;SIM;4;60%;1;30;119;74;62%;14;61;423%;0;0;0%;142;99;70%;275;234;85%
SUDESTE;CONSUELO NOBREGA;GI-ROBERTSON RORIGUES PEREIRA;[ANHANGUERA/UNOPAR] - MACHADO/MG - I(11604655);0;92;92;SIM; NÃO;NÃO;SIM;1;0%;0;0;40;12;30%;3;1;40%;0;0;0%;1;1;84%;43;14;32%
SUDESTE;SILVIA CUNHA;GE3-DARCI VARGAS;[ANHANGUERA/UNOPAR] - MAGE/RJ - I(1051570);0;737;737;SIM; NÃO;NÃO;SIM;2;58%;0;0;451;174;39%;107;29;27%;0;0;0%;319;128;40%;877;331;38%
SUDESTE;SILVIA CUNHA;GE3-DARCI VARGAS;[ANHANGUERA/UNOPAR] - MAGE/RJ - II(15294115);0;269;269;SIM; NÃO;NÃO;NÃO;0;33%;0;0;107;48;45%;0;0;0%;0;0;0%;39;3;8%;146;72;49%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MALHADA/BA - I(15031781);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;ANTONIO FERNANDES;GE2-CARLA TEIXEIRA SALANDIM;[ANHANGUERA/UNOPAR] - MANDAGUARI/PR - I(14657132);0;59;59;SIM; NÃO;NÃO;NÃO;0;40%;0;0;118;26;22%;0;0;0%;0;0;0%;8;0;0%;126;29;23%
SUDESTE;CONSUELO NOBREGA;GE5-WALTER VARGAS JUNIOR;[ANHANGUERA/UNOPAR] - MANHUACU/MG - I(3137);257;747;490;SIM; SIM;NÃO;SIM;1;2%;1;65;332;98;30%;84;30;36%;0;0;0%;250;101;40%;665;229;34%
SUDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MANHUMIRIM/MG - I(13937206);0;3;3;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;ANTONIO FERNANDES;GI-JAMIR WARMLING;[ANHANGUERA/UNOPAR] - MANOEL RIBAS/PR - I(3739);0;19;19;SIM; NÃO;NÃO;NÃO;0;0%;0;0;46;14;31%;0;0;0%;0;0;0%;1;0;0%;47;14;30%
NORDESTE;TATIANE ALMEIDA;GI-LUIZ HENRIQUE MACEDO MENEZES;[ANHANGUERA/UNOPAR] - MARACANAU/CE - I(11346062);0;293;293;SIM; NÃO;NÃO;NÃO;0;4%;0;0;57;63;110%;0;0;0%;0;0;0%;1;3;270%;59;66;113%
NORDESTE;MARCOS SANTOS;GE2-INALDEVANIA DE MELO SILVA;[ANHANGUERA/UNOPAR] - MARAGOGI/AL - I(13902322);0;98;98;SIM; NÃO;NÃO;SIM;1;0%;0;0;77;38;50%;23;14;60%;0;0;0%;48;7;15%;148;59;40%
SUL;ANTONIO FERNANDES;GE9-LEANDRO MORENO GARCIA;[ANHANGUERA/UNOPAR] - MARAVILHA/SC - I(3140);621;602;-19;SIM; NÃO;SIM;NÃO;0;0%;1;0;245;69;28%;216;32;15%;0;0;0%;96;29;30%;556;130;23%
SUL;ANTONIO FERNANDES;GE2-GLORIA TOSHIKO MAEDA;[ANHANGUERA/UNOPAR] - MARECHAL CANDIDO RONDON/PR - I(11105948);532;566;34;SIM; SIM;NÃO;SIM;1;0%;0;12;270;93;34%;0;0;0%;0;0;0%;13;4;30%;284;100;35%
NORDESTE;MARCOS SANTOS;GI-LARA MARIA MARQUES PEIXOTO;[ANHANGUERA/UNOPAR] - MARECHAL DEODORO/AL - I(11604730);0;94;94;SIM; SIM;NÃO;NÃO;0;0%;0;0;87;27;31%;0;3;0%;0;0;0%;8;0;0%;95;31;33%
SUDESTE;MARCOS MALACARNE;GE3-CLARISSA SILVEIRA E SILVA;[ANHANGUERA/UNOPAR] - MARIANA/MG - I(11088985);129;231;102;SIM; NÃO;NÃO;SIM;1;0%;0;0;97;32;33%;6;6;103%;0;0;0%;33;11;33%;137;51;37%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MARINGA/PR - I(3141);0;4;4;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;1;0%;0;0;0%;0;0;0%;0;0;0%;0;1;0%
SUL;ANTONIO FERNANDES;GI-MARIA CONSUELO VILLELA VERMELHO OBICI;[ANHANGUERA/UNOPAR] - MARINGA/PR - II(14652627);627;694;67;SIM; NÃO;NÃO;SIM;5;0%;1;0;179;92;51%;0;0;0%;0;0;0%;26;6;23%;206;102;50%
SUL;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MARMELEIRO/PR - I(15375879);0;0;0;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUDESTE;CONSUELO NOBREGA;GE15-EVANDO LOPES;[ANHANGUERA/UNOPAR] - MATEUS LEME/MG - I(11088987);67;181;114;SIM; NÃO;SIM;SIM;1;0%;1;6;95;52;55%;0;0;0%;0;0;0%;13;2;15%;108;59;55%
SUDESTE;MARCOS MALACARNE;GE2-JORGE LUIS DE ALMEIDA;[ANHANGUERA/UNOPAR] - MATO VERDE/MG - I(3143);305;269;-36;SIM; NÃO;NÃO;SIM;1;0%;0;2;113;46;41%;2;0;0%;0;0;0%;1;1;96%;116;47;40%
SUDESTE;CONSUELO NOBREGA;GE6-WILSON MORAES;[ANHANGUERA/UNOPAR] - MATOZINHOS/MG - I(12333392);118;248;130;SIM; NÃO;NÃO;SIM;1;0%;0;6;78;34;44%;0;0;0%;0;0;0%;14;6;42%;92;41;45%
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MAURITI/CE - I(13751456);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - MAZAGAO/AP - I(14060155);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
NORDESTE;RODRIGO BONFIM;GE5-LUIZ SERGIO GUERRA GOMES;[ANHANGUERA/UNOPAR] - MEDEIROS NETO/BA - I(15081492);96;148;52;SIM; NÃO;NÃO;SIM;1;50%;0;8;108;30;28%;0;0;0%;0;0;0%;1;0;0%;109;30;28%
