REGIONAL;GERENTE;GRUPO ECONOMICO;NOME SIGA;Inscritos ENEM 25.1;Inscritos Total CPF Único;Inscritos EX ENEM;Adiantamento da VCP - Nov;Adiantamento da VCP - Jan;TOP 25;Possui time comercial;Quantidade time comercial;% do CE nas matrículas do Polo;Aportes;Expectativa Matricula Enem;META 100% ONLINE;REAL 25.1;% META;META HIBRIDO;REAL 25.1;% META;META PRESENCIAL;REAL 25.1;% META;META HIBRIDO LAB;REAL 25.1;% META;META TOTAL;REAL 25.1;% META
NORDESTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - ANDARAI/BA - I(14028786);0;2;2;NÃO; SIM;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
CENTRO OESTE/NORTE;EM BRANCO;SEM INF;[ANHANGUERA/UNOPAR] - APARECIDA DE GOIANIA/GO - I(1074482);0;2;2;NÃO; NÃO;NÂO;NÃO;0;0%;0;0;0;0;0%;0;0;0%;0;0;0%;0;0;0%;0;0;0%
SUL;ANTONIO FERNANDES;GE5-ELISA MARIA DE ASSIS;[ANHANGUERA/UNOPAR] - APUCARANA/PR - I(1059409);482;710;228;SIM; NÃO;NÃO;SIM;1;0%;1;122;362;126;35%;1;3;257%;0;0;0%;101;71;70%;465;200;43%
NORDESTE;TATIANE ALMEIDA;GE6-GERSON SOARES CHAVES;[ANHANGUERA/UNOPAR] - AQUIRAZ/CE - I(11604644);0;98;98;SIM; SIM;NÃO;SIM;5;0%;0;0;43;18;42%;0;0;0%;0;0;0%;2;0;0%;45;18;40%
NORDESTE;TATIANE ALMEIDA;GE7-ELIZABETE MENDONCA / IDAMIS SOUSA;[ANHANGUERA/UNOPAR] - ARACAJU/SE - I(4318);684;813;129;SIM; NÃO;NÃO;SIM;13;0%;0;0;272;114;42%;100;47;47%;0;0;0%;185;63;34%;557;224;40%
NORDESTE;TATIANE ALMEIDA;GE12-NEUSA DIVINA DA SILVEIRA FERREIRA;[ANHANGUERA/UNOPAR] - ARACAJU/SE - III(15008465);39;99;60;SIM; NÃO;NÃO;NÃO;0;0%;0;0;0;14;0%;0;0;0%;0;0;0%;0;2;0%;0;18;0%
SP INTERIOR;VICTOR CARVAS;GE5-ALEX LAPENTA E SILVA / CAMILA CASERTA LAPENTA E SILVA;[ANHANGUERA/UNOPAR] - ARACATUBA/SP - I(3717);358;633;275;SIM; NÃO;NÃO;SIM;2;1%;1;0;358;162;45%;6;2;36%;0;0;0%;126;47;37%;490;211;43%
SUDESTE;SILVIA CUNHA;GE5-PAULA ROBERTA NIQUINI RIBEIRO LOPES DE SA;[ANHANGUERA/UNOPAR] - ARACRUZ/ES - I(13623438);17;203;186;SIM; NÃO;NÃO;SIM;6;0%;0;2;108;33;31%;1;1;89%;0;0;0%;50;37;73%;159;71;45%
SUDESTE;MARCOS MALACARNE;GE7-ELZITA FLOR DE MAIO;[ANHANGUERA/UNOPAR] - ARACUAI/MG - I(3066);1713;1502;-211;SIM; NÃO;NÃO;SIM;4;0%;0;0;184;98;53%;27;9;34%;0;0;0%;214;132;62%;425;239;56%
SUDESTE;CONSUELO NOBREGA;GE2-ANDREA LUCIA CORREA BOUCAS CALDEIRANI;[ANHANGUERA/UNOPAR] - ARAGUARI/MG - I(4147404);230;256;26;SIM; SIM;NÃO;NÃO;0;0%;0;0;44;20;46%;0;0;0%;0;0;0%;7;1;14%;51;22;43%
SUL;ANTONIO FERNANDES;GI-EDUARDO DO PRADO FERREIRA TEGANI;[ANHANGUERA/UNOPAR] - ARAPONGAS/PR - I(14908173);3;84;81;SIM; NÃO;NÃO;NÃO;0;0%;0;0;87;20;23%;0;0;0%;0;0;0%;8;0;0%;95;20;21%
SUL;ANTONIO FERNANDES;GE4-TALITA SANTUCCI;[ANHANGUERA/UNOPAR] - ARAPOTI/PR - I(13835529);57;141;84;SIM; NÃO;NÃO;SIM;2;48%;0;0;137;46;34%;10;0;0%;0;0;0%;8;7;91%;155;53;34%
SUL;TBD;GI-JOACIR DELLA GIUSTINA;[ANHANGUERA/UNOPAR] - ARARANGUA/SC - I(3068);687;1311;624;SIM; NÃO;NÃO;NÃO;0;0%;0;8;358;129;36%;255;112;44%;0;0;0%;283;143;51%;895;384;43%
SUDESTE;SILVIA CUNHA;GE20-ANTONIO CARLOS DANTAS;[ANHANGUERA/UNOPAR] - ARARUAMA/RJ - I(11088910);458;871;413;SIM; NÃO;SIM;SIM;3;0%;1;0;633;230;36%;24;0;0%;0;0;0%;232;78;34%;889;308;35%
NORDESTE;TATIANE ALMEIDA;GI-LUCINEIDE MARTINIANO DE MACEDO;[ANHANGUERA/UNOPAR] - ARARUNA/PB - I(15055608);11;59;48;SIM; NÃO;NÃO;SIM;1;0%;0;0;47;19;41%;0;0;0%;0;0;0%;0;0;0%;47;19;41%
SUDESTE;MARCOS MALACARNE;GE7-RONAN RAMOS;[ANHANGUERA/UNOPAR] - ARAUJOS/MG - I(15381050);11;40;29;SIM; NÃO;NÃO;SIM;6;0%;1;0;22;4;19%;0;0;0%;0;0;0%;0;0;0%;22;4;19%
SUDESTE;MARCOS MALACARNE;GE7-RONAN RAMOS;[ANHANGUERA/UNOPAR] - ARCOS/MG - I(11604645);259;476;217;SIM; NÃO;NÃO;SIM;7;1%;0;56;252;90;36%;70;24;34%;0;0;0%;131;66;51%;453;180;40%
NORDESTE;RODRIGO BONFIM;GI-HIGOR MATIAS DE SIQUEIRA;[ANHANGUERA/UNOPAR] - ARCOVERDE/PE - I(1051524);0;505;505;SIM; NÃO;NÃO;SIM;2;83%;0;0;269;113;42%;78;88;113%;0;0;0%;209;157;75%;556;358;64%
SUDESTE;CONSUELO NOBREGA;GE3-MARIA MARTA NORONHA;[ANHANGUERA/UNOPAR] - AREADO/MG - I(15185075);2;96;94;SIM; NÃO;NÃO;NÃO;0;0%;0;0;43;57;134%;0;0;0%;0;0;0%;5;0;0%;47;57;120%
CENTRO OESTE/NORTE;GLAUCIA RIBEIRO;GE3-SUELI DE ALMEIDA LOPES;[ANHANGUERA/UNOPAR] - ARIQUEMES/RO - I(1051525);874;1093;219;SIM; NÃO;NÃO;NÃO;0;0%;0;0;329;158;48%;75;43;57%;0;0;0%;186;65;35%;590;266;45%
